Title,Link
Asahi Linux Progress Linux 7.0,https://asahilinux.org/2026/04/progress-report-7-0/
asahilinux.org,https://news.ycombinator.com/from?site=asahilinux.org
Statecharts: hierarchical state machines,https://statecharts.dev/
statecharts.dev,https://news.ycombinator.com/from?site=statecharts.dev
Amateur armed with ChatGPT solves an Erdős problem,https://www.scientificamerican.com/article/amateur-armed-with-chatgpt-vibe-maths-a-60-year-old-problem/
scientificamerican.com,https://news.ycombinator.com/from?site=scientificamerican.com
Why has there been so little progress on Alzheimer's disease?,https://freakonomics.com/podcast/why-has-there-been-so-little-progress-on-alzheimers-disease/
freakonomics.com,https://news.ycombinator.com/from?site=freakonomics.com
Show HN: Turning a Gaussian Splat into a videogame,https://blog.playcanvas.com/turning-a-gaussian-splat-into-a-videogame/
playcanvas.com,https://news.ycombinator.com/from?site=playcanvas.com
"The West forgot how to make things, now it’s forgetting how to code",https://techtrenches.dev/p/the-west-forgot-how-to-make-things
techtrenches.dev,https://news.ycombinator.com/from?site=techtrenches.dev
USB Cheat Sheet (2022),https://fabiensanglard.net/usbcheat/index.html
fabiensanglard.net,https://news.ycombinator.com/from?site=fabiensanglard.net
Tell HN: An app is silently installing itself on my iPhone every day,https://news.ycombinator.com/item?id=47906253
At least 10 people tied to sensitive US research have died or disappeared,https://www.cnn.com/2026/04/21/us/deaths-disappearances-scientists-investigation
cnn.com,https://news.ycombinator.com/from?site=cnn.com
GnuPG – post-quantum crypto landing in mainline,https://lists.gnupg.org/pipermail/gnupg-announce/2026q2/000504.html
gnupg.org,https://news.ycombinator.com/from?site=gnupg.org
Cheating at Tetris,https://chalkdustmagazine.com/features/cheating-at-tetris/
chalkdustmagazine.com,https://news.ycombinator.com/from?site=chalkdustmagazine.com
Exposing Floating Point – Bartosz Ciechanowski (2019),https://ciechanow.ski/exposing-floating-point/
ciechanow.ski,https://news.ycombinator.com/from?site=ciechanow.ski
Mahjong: A Visual Guide,https://themahjong.guide/
themahjong.guide,https://news.ycombinator.com/from?site=themahjong.guide
OpenAI Privacy Filter,https://openai.com/index/introducing-openai-privacy-filter/
openai.com,https://news.ycombinator.com/from?site=openai.com
Flickr: The first and last great photo platform,https://petapixel.com/2026/04/22/flickr-the-first-and-last-great-photo-platform/
petapixel.com,https://news.ycombinator.com/from?site=petapixel.com
The Free Universal Construction Kit,https://fffff.at/free-universal-construction-kit/
fffff.at,https://news.ycombinator.com/from?site=fffff.at
Terra API (YC W21) Hiring: Applied AI Strategist(Health Intelligence),https://www.ycombinator.com/companies/terra-api/jobs/DY7BCZU-applied-ai-strategist-market-intelligence-health
ycombinator.com,https://news.ycombinator.com/from?site=ycombinator.com
My .config Ship of Theseus,https://shift1w.com/blog/config-of-theseus/
shift1w.com,https://news.ycombinator.com/from?site=shift1w.com
The route from Prussian military headquarters to Gary Gygax’s basement,https://asteriskmag.com/issues/14/shall-we-play-a-game
asteriskmag.com,https://news.ycombinator.com/from?site=asteriskmag.com
Using coding assistance tools to revive projects you never were going to finish,https://blog.matthewbrunelle.com/its-ok-to-use-coding-assistance-tools-to-revive-the-projects-you-never-were-going-to-finish/
matthewbrunelle.com,https://news.ycombinator.com/from?site=matthewbrunelle.com
Quirks of Human Anatomy,https://www.sdbonline.org/sites/fly/lewheldquirk/figlegq6.htm
sdbonline.org,https://news.ycombinator.com/from?site=sdbonline.org
I spent 6 years building my Kanban as I hated how managers run the boards,https://www.npmjs.com/package/ooko
npmjs.com,https://news.ycombinator.com/from?site=npmjs.com
"Mine, a Coalton and Common Lisp IDE",https://coalton-lang.github.io/20260424-mine/
coalton-lang.github.io,https://news.ycombinator.com/from?site=coalton-lang.github.io
APL is more French than English,https://www.jsoftware.com/papers/perlis78.htm
jsoftware.com,https://news.ycombinator.com/from?site=jsoftware.com
EU Age Control: The trojan horse for digital IDs,https://juraj.bednar.io/en/blog-en/2026/04/17/eu-age-control-the-trojan-horse-for-digital-ids/
bednar.io,https://news.ycombinator.com/from?site=bednar.io
The Joy of Folding Bikes,https://blog.korny.info/2026/04/19/the-joy-of-folding-bikes
korny.info,https://news.ycombinator.com/from?site=korny.info
Eden AI – European Alternative to OpenRouter,https://www.edenai.co/
edenai.co,https://news.ycombinator.com/from?site=edenai.co
America's Geothermal Breakthrough,https://oilprice.com/Alternative-Energy/Geothermal-Energy/Americas-Geothermal-Breakthrough-Could-Unlock-a-150-Gigawatt-Energy-Revolution.html
oilprice.com,https://news.ycombinator.com/from?site=oilprice.com
Math Is Hard – OpenBSD Stories,http://miod.online.fr/software/openbsd/stories/vaxfp.html
online.fr,https://news.ycombinator.com/from?site=online.fr
The Super Nintendo Cartridges (2024),https://fabiensanglard.net/snes_carts/
fabiensanglard.net,https://news.ycombinator.com/from?site=fabiensanglard.net
